Field,teff,logg,alpha_m,feh,TEFF,TEFF_PredictDecoded,alpha_predict,LOGG_Predict,FEH_Predict,colors,sizes
SPLUS-n03s22_000006311,5448.49,4.509,0.162426,-0.083,-0.3832530207134637,5444.8057,0.20630653,4.4931684,-0.15152311,0.34821894005212856,0.387263339070568
SPLUS-n03s43_000007704,5682.04,4.188,0.234278,-0.311,-0.1732864643268126,5742.282,0.1775111,4.13836,-0.2617277,0.4016164433673235,-0.16523235800344338
SPLUS-n01s18_000004091,5897.74,4.055,0.058412,-0.212,0.020632551783659636,5860.757,0.13124743,4.118273,-0.34155595,0.4509328272897709,-0.3941480206540451
SPLUS-n02n01_000005079,5777.25,3.891,-0.028105,-0.117,-0.08769059263521228,5818.809,0.07450304,4.0509734,-0.16680756,0.42338469980337473,-0.6764199655765921
SPLUS-n01s28_000004606,5647.41,4.275,0.388093,-0.435,-0.20441959148446465,5736.207,0.24271356,4.0855074,-0.3540037,0.3936988431112534,-0.01549053356282215
SPLUS-n01s23_000004125,5340.56,4.585,0.114015,-0.17,-0.4802844505178365,5326.5093,0.33870935,4.4295287,-0.37702745,0.32354245735973297,0.5180722891566258
SPLUS-n02s28_000005111,6128.76,4.075,-0.005039,-0.455,0.2283245828538556,6169.755,0.021706022,4.111611,-0.5176506,0.5037518862316522,-0.35972461273666045
SPLUS-s02s04_000000882,5442.38,4.267,0.103323,0.156,-0.38874604430379733,5691.338,0.14512588,4.0579596,-0.37526783,0.3468219854588687,-0.029259896729776358
SPLUS-n03s27_000006439,5647.99,4.366,0.204992,-0.316,-0.20389815880322182,5685.2495,0.24095716,4.042774,-0.19598797,0.39383145091225025,0.14113597246127263
SPLUS-s02s09_000003123,5565.46,3.758,0.255085,-0.326,-0.27809443325661665,5669.5083,0.26989165,3.9981155,-0.40718397,0.3749622753669578,-0.9053356282271947
SPLUS-s02s04_000010904,6080.21,4.072,-0.042178,-0.681,0.18467707134637568,5978.595,0.06950672,4.122372,-0.2515255,0.49265169875165765,-0.3648881239242687
SPLUS-n01s28_000005464,5657.43,4.322,0.257499,-0.195,-0.1954113924050631,5649.586,0.23688091,4.263949,-0.27455145,0.3959897571905437,0.06540447504302893
SPLUS-n05n54_000007216,5925.47,4.447,0.113435,-0.491,0.045562428078251394,5892.0527,0.14923431,4.226023,-0.54325515,0.4572728519822581,0.2805507745266782
SPLUS-s02s03_000002260,5774.29,4.501,0.275653,-0.517,-0.09035169735327919,5657.3438,0.30708188,4.298198,-0.62193674,0.4227079427500115,0.37349397590361466
SPLUS-n04s44_000004610,5389.58,3.829,0.381429,-0.388,-0.4362143987341769,5549.6724,0.30887932,3.9965577,-0.3310532,0.3347501028853629,-0.7831325301204819
SPLUS-n03s24_000001367,5649.7,4.317,0.427936,-0.556,-0.20236083141541972,5667.8867,0.34003514,4.1879697,-0.6177011,0.3942224152910513,0.056798623063682996
SPLUS-n02s24_000005839,5325.21,3.864,0.415383,-0.543,-0.4940844361334866,5554.833,0.33818385,4.0918055,-0.51380104,0.32003292331610955,-0.7228915662650603
SPLUS-n01s23_000003807,5517.58,4.49,0.094368,0.168,-0.3211396001150746,5437.1465,0.16455911,4.4903655,-0.06667163,0.36401527276052864,0.35456110154905307
SPLUS-n01s24_000003836,6934.0,4.241,0.244439,-0.481,0.9522529487917151,6662.454,0.18011089,4.1426253,-0.67781305,0.6878572408432028,-0.07401032702237575
SPLUS-s02s13_000006848,5366.32,3.806,0.211554,-0.136,-0.4571256472957428,5477.8086,0.19042288,3.9477563,-0.11392067,0.3294320727971099,-0.822719449225473
SPLUS-n02s26_000010197,6499.8,4.221,0.014223,-0.498,0.5618976553509789,6401.2812,0.07664564,4.1442733,-0.6358606,0.588584297407289,-0.1084337349397595
SPLUS-n01s25_000003583,5905.89,4.022,0.135448,-0.824,0.027959579976985616,5955.8525,0.14616673,4.139483,-0.7959924,0.45279619552791633,-0.4509466437177281
SPLUS-n01s01_000006722,5234.71,4.523,0.431173,-0.763,-0.5754459148446491,5363.1147,0.3610614,4.467586,-0.50634164,0.2993415336778087,0.41135972461273607
SPLUS-s02s04_000000996,5879.0,4.355,0.04443,-0.166,0.003784882048331717,5205.5986,0.1667573,3.9930174,-0.2112852,0.446648223512735,0.12220309810671282
SPLUS-n02n19_000002131,5647.65,4.37,0.307502,-0.481,-0.20420382623705446,5635.5234,0.30749565,4.2992525,-0.5094131,0.39375371530476916,0.14802065404475062
SPLUS-n02n18_000008130,5766.65,4.009,0.006219,-0.117,-0.09722022439585754,5733.1904,0.20792143,4.067593,-0.298739,0.42096117792308735,-0.47332185886402733
SPLUS-n03s20_000003419,5115.84,4.485,0.012019,0.322,-0.6823126438434981,5201.695,0.082372084,4.5208488,0.2794272,0.2721637934976451,0.34595524956970714
SPLUS-n01s24_000000530,5428.95,4.421,0.066382,0.164,-0.40081990794016154,5522.2207,0.12126999,4.401175,0.14332443,0.3437514289633727,0.2358003442340788
SPLUS-s02s03_000009125,5236.23,4.608,0.365975,-0.813,-0.5740794016110478,5224.6436,0.368612,4.5113544,-0.627772,0.2996890575700762,0.557659208261617
SPLUS-s02s12_000005039,6055.35,4.122,0.127804,-0.435,0.16232738780207168,5888.9053,0.15777335,4.0493293,-0.6084467,0.4869678540399653,-0.27882960413080937
SPLUS-s03s04_000015210,5783.85,4.328,0.016548,0.063,-0.08175704833141495,5605.167,0.20493878,4.027238,-0.14152592,0.4248936851250629,0.07573149741824459
SPLUS-n03s22_000001907,6703.59,4.087,-0.049075,-0.038,0.7451093210586883,6633.613,0.07378604,4.1469984,-0.2593245,0.6351776487265078,-0.3390705679862309
SPLUS-n02s22_000007759,5057.42,4.572,0.019799,0.098,-0.7348335011507476,5166.362,0.09467941,4.6303797,0.038192496,0.25880698705930777,0.4956970740103266
SPLUS-n01s22_000002827,5756.41,4.188,0.192895,-0.435,-0.1064262082853853,5766.917,0.27737117,4.0475135,-0.49217668,0.41861996433307425,-0.16523235800344338
SPLUS-n05s01_000021471,5971.7,4.247,0.103745,-0.477,0.08712420886075911,5981.1035,0.08002003,4.0675635,-0.5693137,0.46784260825826496,-0.0636833046471601
SPLUS-n02s21_000006063,5843.85,4.122,0.372425,-0.708,-0.027815736478710384,5814.298,0.25927475,4.154644,-0.6588517,0.438611733504047,-0.27882960413080937
SPLUS-n03n01_000006379,5765.09,4.175,0.445243,-0.527,-0.09862269850402772,5757.7217,0.3237864,4.1883864,-0.53343475,0.4206045086652338,-0.18760757314974263
SPLUS-n02n26_000003698,5529.22,4.342,0.328534,-0.226,-0.3106749856156501,5565.4995,0.31564683,4.3839207,-0.43848923,0.3666765741460515,0.09982788296041178
SPLUS-n02s23_000009614,6105.77,4.135,0.561494,-1.719,0.20765607019562804,6099.4946,0.19917358,4.0808067,-1.4047288,0.49849558736110494,-0.2564543889845101
SPLUS-n04s44_000007978,5603.98,4.378,0.095743,0.097,-0.2434641110471807,5639.985,0.15117043,4.2721057,0.034036644,0.38376926242626547,0.16179001721170394
SPLUS-n05s43_000004169,5574.65,4.18,0.056563,0.054,-0.26983242232451143,5648.5054,0.118158065,4.1188455,0.09228369,0.3770634231103387,-0.1790017211703967
SPLUS-n02n20_000004386,5735.65,4.359,0.319385,-0.484,-0.12508990218642158,5736.101,0.31675553,4.1577287,-0.522998,0.41387351959394564,0.12908777969018903
SPLUS-n02n24_000006435,5613.47,4.3,0.313427,-0.666,-0.23493239355581075,5684.6147,0.3362878,4.290543,-0.54578406,0.38593900041154156,0.027538726333906638
SPLUS-n01s18_000004132,5848.28,4.3,0.490548,-0.56,-0.023833069620253333,5740.003,0.31717503,4.060114,-0.5536756,0.43962458274269506,0.027538726333906638
SPLUS-n03s26_000001731,5291.67,4.549,0.401438,-0.419,-0.5242376294591482,5376.0337,0.2706209,4.486609,-0.39591125,0.3123645342722576,0.45611015490533546
SPLUS-n03s44_000003664,6000.15,4.229,0.089211,-0.459,0.11270138089758319,5984.6177,0.05408573,4.1492386,-0.32519472,0.4743472495312999,-0.09466437177280529
SPLUS-n01s37_000002748,5256.02,4.499,0.157615,-0.369,-0.5562877589182964,5484.918,0.20606866,4.4586415,-0.17126611,0.3042137271937447,0.3700516351118752
SPLUS-n01s23_000007159,6142.02,4.166,0.05116,-0.402,0.24024561277330303,5927.957,0.17315759,4.262469,-0.19204473,0.5067835749234076,-0.2030981067125639
SPLUS-n03s28_000012570,5765.32,4.239,0.035491,-0.254,-0.09841592347525907,5815.4946,0.20370029,4.2115617,-0.39010033,0.4206570945173532,-0.0774526678141143
SPLUS-s02s13_000008188,5491.34,4.544,0.183368,-0.072,-0.34472993383199046,5414.089,0.23392977,4.4741526,-0.18668434,0.3580159129361197,0.44750430292598864
SPLUS-n05n55_000000933,5689.67,4.177,0.351756,-0.409,-0.1664269275028767,5734.737,0.28543037,4.1938157,-0.41920164,0.40336092185285105,-0.18416523235800408
SPLUS-n01s28_000006663,5882.62,4.195,0.203642,-0.773,0.007039341196778182,5803.296,0.2967593,4.1698956,-0.6801067,0.44747587909826697,-0.153184165232358
SPLUS-n02n25_000005360,5618.92,4.42,0.064439,-0.01,-0.23003272439585754,5553.0513,0.17995897,4.413024,-0.12001823,0.3871850564726324,0.2340791738382091
SPLUS-n03s23_000013703,5416.95,4.536,0.17966,-0.132,-0.41160817031070174,5420.0957,0.20008676,4.501491,-0.16468969,0.34100781928757606,0.4337349397590353
SPLUS-n02s22_000006990,5322.19,3.982,0.135786,-0.468,-0.4967994821634063,5650.9614,0.14193697,4.114784,-0.07802507,0.3193424482143673,-0.5197934595524956
SPLUS-n03s18_000007688,5531.29,4.418,0.191495,-0.268,-0.3088140103567314,5579.55,0.25322163,4.327155,-0.21391344,0.3671498468151265,0.23063683304647142
SPLUS-n02n20_000010322,5515.41,3.891,0.374537,-0.541,-0.323090477560414,5649.3286,0.32097173,4.033795,-0.42741987,0.3635191366774887,-0.6764199655765921
SPLUS-n01s20_000013701,5556.71,4.247,0.373125,-0.445,-0.2859608745684694,5635.816,0.24996333,4.393812,-0.27313283,0.37296172664502264,-0.0636833046471601
SPLUS-s02s08_000001951,5217.36,4.865,0.094617,-0.115,-0.5910439441887227,5215.5176,0.18333714,4.533769,-0.19254681,0.2953747313548859,1.0
SPLUS-s02s09_000016011,6167.39,4.178,0.067783,-0.587,0.26305379746835467,5892.1807,0.16140582,4.094852,-0.62329835,0.5125840230463212,-0.18244406196213436
SPLUS-n02n26_000004286,6020.29,4.114,0.149051,-1.047,0.13080768124280784,6001.9434,0.1465526,4.147022,-0.9440456,0.4789519411038456,-0.2925989672977627
SPLUS-n03s26_000011019,6240.73,4.069,-0.084045,-0.421,0.3289880609896434,6200.051,0.02065246,4.118178,-0.45957428,0.5293520508482327,-0.3700516351118761
SPLUS-s02s09_000001945,5509.51,4.351,0.465586,-0.723,-0.32839470655926295,5553.0864,0.34133226,4.1881185,-0.6437328,0.36217019525355537,0.11531841652323571
SPLUS-n05n55_000008861,5901.67,4.144,0.118162,-0.552,0.024165707710011475,5974.42,0.08994585,4.140308,-0.4956764,0.4518313594585943,-0.24096385542168708
SPLUS-s02s12_000004088,5703.62,4.016,0.215005,-0.476,-0.1538855724971233,5667.5547,0.31369844,4.3186584,-0.48335204,0.40655036810096473,-0.46127366609294373
SPLUS-n01s18_000005433,6151.42,4.141,-0.010228,-0.445,0.24869641829689293,6085.181,0.03871517,4.0967035,-0.5730705,0.508932735836115,-0.24612736660929446
SPLUS-n05n53_000006428,5107.2,3.787,0.404887,-0.39,-0.6900801927502878,5223.022,0.21596406,3.953119,-0.15554473,0.27018839453107135,-0.8554216867469879
SPLUS-n02n22_000010127,5828.2,4.271,-0.116435,0.176,-0.04188542865362521,5683.2773,0.15507495,4.285991,-0.14117911,0.43503360921852835,-0.022375215146300143
SPLUS-n05s43_000007080,5526.11,3.917,0.386675,-0.229,-0.31347094361334893,5690.5566,0.19100249,4.061976,-0.19504562,0.3659655219717407,-0.6316695352839936
SPLUS-n01s24_000008068,6081.38,4.36,0.053077,-0.407,0.18572892692750287,6104.409,0.021287203,4.1322017,-0.14125845,0.49291920069504774,0.13080895008605875
SPLUS-s02s04_000004413,5552.45,4.59,0.172322,-0.536,-0.2897907077100115,5571.1064,0.24221723,4.3166423,-0.401696,0.37198774521011474,0.5266781411359718
SPLUS-n02n27_000005344,5803.53,4.314,0.282691,-0.428,-0.06406429804372848,5779.24,0.2760185,4.113628,-0.5799741,0.4293932049933695,0.05163511187607561
SPLUS-n03s20_000005901,5658.9,4.329,0.340887,-0.28,-0.19408983026467208,5651.71,0.28819537,4.2624874,-0.4019365,0.39632584937582876,0.07745266781411253
SPLUS-n02n44_000002897,5579.48,4.424,0.39386,-0.464,-0.2654901467203681,5703.709,0.24935487,4.1828933,-0.30664262,0.37816772600484705,0.24096385542168708
SPLUS-n05s01_000007420,6086.13,4.04,-0.126195,0.128,0.1899992807825086,6056.4834,0.02014354,4.057979,-0.018990815,0.49400521285838395,-0.4199655765920829
SPLUS-n01s27_000001491,6155.78,4.212,-0.085697,-0.428,0.25261615362485657,6192.187,0.026903162,4.179654,-0.4089653,0.509929580684988,-0.12392426850258254
SPLUS-n01s38_000002624,5527.85,4.392,0.534656,-0.512,-0.31190664556961956,5633.215,0.22514127,4.233771,-0.2729342,0.3663633453747315,0.18588640275387291
SPLUS-n01s25_000004450,5644.33,4.265,0.10412,0.15,-0.2071885788262371,5656.525,0.14147292,4.1797304,0.05427417,0.39299464996113215,-0.0327022375215158
SPLUS-n01s01_000011184,5530.75,4.291,0.135412,-0.165,-0.3092994821634063,5589.7964,0.19178425,4.2953362,-0.22494698,0.3670263843797155,0.012048192771084487
SPLUS-n03s28_000001316,5817.32,4.427,0.270269,-0.643,-0.051666786536248566,5793.9824,0.2997812,4.172706,-0.69756657,0.4325460697791394,0.24612736660929357
SPLUS-n04s02_000002583,5777.91,4.458,0.110316,-0.176,-0.08709723820483273,5722.335,0.25988773,4.266297,-0.2949716,0.42353559833554355,0.2994836488812389
SPLUS-n02s27_000003606,5553.48,4.162,0.296283,-0.5,-0.2888647151898738,5675.7476,0.21517007,4.2298813,-0.29961234,0.3722232383739539,-0.2099827882960419
SPLUS-s02s09_000011802,5467.42,4.511,0.189141,-0.165,-0.36623453682393503,5372.9243,0.23980425,4.4793744,-0.23654073,0.35254698431569814,0.39070567986230653
SPLUS-s02s08_000004955,6065.32,4.333,0.112726,-0.295,0.17129063578826198,5843.7583,0.20684017,4.127505,-0.49328807,0.4892473364122729,0.08433734939759052
SPLUS-n02n26_000005886,5831.23,4.137,0.250852,-0.55,-0.03916139240506311,6002.3936,0.07617602,4.200203,-0.3306342,0.4357263706616672,-0.25301204819277245
SPLUS-n04s44_000004696,5710.51,4.368,0.207215,-0.164,-0.14769131185270368,5676.7017,0.29003882,4.2849426,-0.31694224,0.4081256573231516,0.14457831325301207
SPLUS-n04n01_000009268,5809.6,4.039,0.104543,-0.55,-0.05860723532796275,5885.414,0.17521046,4.1341934,-0.41812757,0.43078101422104353,-0.4216867469879526
SPLUS-n05s03_000015676,5580.04,4.626,0.105757,-0.017,-0.2649866944764092,5514.1787,0.20967641,4.239331,-0.08326737,0.37829576112305097,0.588640275387263
SPLUS-n01s21_000001446,5699.49,4.336,0.186699,-0.082,-0.15759853279631741,5661.784,0.271394,4.29278,-0.22814941,0.40560610910421147,0.0895008605851979
SPLUS-n02n28_000007038,5697.82,3.902,0.055245,-0.853,-0.1590998993095516,5811.0107,0.26670352,4.0343423,-0.960977,0.40522429009099625,-0.6574870912220305
SPLUS-s03s01_000026417,5872.6,4.154,0.120071,-0.134,-0.001968857882623354,5850.68,0.07305328,4.127929,-0.08861427,0.4451849650189767,-0.2237521514629952
SPLUS-n01s27_000006380,6009.38,4.213,-0.022506,-0.233,0.1209993527042581,5969.9595,0.07468494,4.2155805,-0.292823,0.4764575426402671,-0.12220309810671282
SPLUS-n02s37_000013656,5379.2,4.332,0.472821,-0.525,-0.44554624568469503,5495.484,0.3189847,4.3777375,-0.44775447,0.3323768805157986,0.0826161790017208
SPLUS-n03s19_000007031,5219.21,4.438,0.180322,-0.296,-0.5893807537399312,5443.84,0.25552893,4.4350095,-0.22098336,0.29579770451323784,0.2650602409638543
SPLUS-n02n25_000002930,5623.28,3.965,0.272536,-0.144,-0.2261129890678939,5669.186,0.21021195,4.183781,-0.35767475,0.3881819013215054,-0.5490533562822719
SPLUS-n05s02_000006884,5712.96,4.045,0.298721,-0.416,-0.1454887082853853,5740.985,0.20416386,4.2020063,-0.37995616,0.40868581096529333,-0.41135972461273695
SPLUS-n04s42_000003821,5984.55,4.184,0.022857,-0.379,0.09867663981588048,5957.964,0.08758915,4.1393285,-0.3407248,0.47078055695276416,-0.1721170395869187
SPLUS-s02s23_000004531,5640.36,4.097,-0.025687,0.245,-0.21075769562715774,5616.13,0.13640843,4.2411165,0.08842901,0.3920869724267227,-0.32185886402753816
SPLUS-n04s44_000004180,5606.27,4.422,0.172477,-0.383,-0.24140535097813487,5591.4683,0.3420868,4.3423944,-0.48025396,0.38429283460606356,0.23752151462994764
SPLUS-s02s03_000002203,5752.0,4.063,0.042138,-0.091,-0.11039089470655927,5759.704,0.15887079,4.031095,-0.17604792,0.41761168777721885,-0.38037865748709176
SPLUS-s02s03_000024457,4870.89,4.766,0.165287,-0.258,-0.9025280494821635,5144.751,0.114589565,4.6109166,-0.16218565,0.21615986099044307,0.8296041308089492
SPLUS-s02s06_000008004,5709.14,3.986,0.243105,-0.782,-0.14892297180667402,5779.7617,0.23299013,4.0404406,-0.6478378,0.4078124285518314,-0.5129087779690185
SPLUS-n02n24_000003221,5807.2,4.116,0.199058,-0.614,-0.060764887802071677,5801.837,0.28234273,4.0745363,-0.65129155,0.430232292285884,-0.289156626506025
SPLUS-n02s37_000007347,5813.38,4.403,0.168916,-0.309,-0.05520893268124283,5768.5195,0.25071973,4.184106,-0.49436477,0.43164525126891945,0.20481927710843273
SPLUS-n02n27_000004982,5639.33,4.112,0.171512,-0.691,-0.21168368814729543,5646.4644,0.35834485,4.304763,-0.7887553,0.39185147926288355,-0.29604130808950124
SPLUS-n03s22_000000811,5375.27,4.505,0.34328,-0.062,-0.44907940161104687,5410.0913,0.13704236,4.350334,-0.04806277,0.3314783483469752,0.3803786574870909
SPLUS-n04s01_000002734,5991.31,3.986,-0.111827,-0.184,0.10475402761795216,5919.5386,0.094069965,4.0530767,-0.38192716,0.47232612373679644,-0.5129087779690185
SPLUS-n03s24_000008801,5976.47,4.296,-0.048482,-0.254,0.0914125431530497,5960.5215,0.10616652,4.1634994,-0.43244976,0.46893319310439435,0.020654044750430423
SPLUS-s02s23_000004255,5790.35,4.343,0.070556,0.043,-0.0759134062140383,5637.1787,0.2070822,4.162326,-0.23856992,0.42637980703278633,0.1015490533562815
SPLUS-s02s12_000003538,6022.79,4.275,0.133014,-0.566,0.13305523590333745,5873.253,0.19373952,4.0785947,-0.67060983,0.47952352645297,-0.01549053356282215
SPLUS-n05n55_000001635,5530.29,4.298,0.211745,-0.432,-0.3097130322209436,5580.6055,0.3288629,4.353831,-0.52843964,0.36692121267547667,0.024096385542168086
SPLUS-n01s24_000002299,5209.57,4.57,0.055242,0.037,-0.5980473245109321,5288.5737,0.13442221,4.5493073,0.079161145,0.2935936714070145,0.4922547332185889
SPLUS-n02n18_000003995,5360.13,4.608,0.18118,-0.295,-0.4626905926352123,5336.932,0.30690348,4.526005,-0.31434438,0.32801682747267835,0.557659208261617
SPLUS-n03s23_000010264,5270.87,4.728,0.434149,-0.483,-0.5429372842347524,5323.7725,0.28581044,4.5287094,-0.32693207,0.30760894416754314,0.7641996557659194
SPLUS-n02n18_000007869,5765.22,4.211,0.071867,-0.964,-0.09850582566167976,6298.4272,0.13850702,4.1511836,-0.4932308,0.4206342311033884,-0.12564543889845048
SPLUS-n05n54_000006336,5876.77,4.286,0.29344,-0.256,0.0017800632911395553,5857.2524,0.13782647,4.244436,-0.26136336,0.44613836938131607,0.0034423407917376636
SPLUS-n05s01_000016154,6113.32,4.189,-0.08095,-0.215,0.21444368527042545,6052.665,0.024675474,4.1133714,-0.25235254,0.5002217751154601,-0.16351118760757366
SPLUS-n01s38_000002646,6177.76,4.179,0.095858,-0.386,0.2723766542002304,6190.15,0.021167863,4.1372113,-0.4198908,0.514954959074489,-0.18072289156626464
SPLUS-n02n01_000016258,5803.59,4.419,0.016233,-0.011,-0.06401035673187572,5798.9243,0.06432584,4.127334,-0.051899835,0.42940692304174854,0.23235800344233937
SPLUS-n02s25_000002534,5099.94,4.655,0.383059,-0.603,-0.6966070914844655,5217.7256,0.34762043,4.564756,-0.53325385,0.26852851067721417,0.6385542168674689
SPLUS-n01s26_000009543,5479.58,4.523,0.178497,-0.282,-0.3553024309551205,5487.7085,0.26320016,4.4451966,-0.24271968,0.35532717545383885,0.41135972461273607
SPLUS-n02n18_000005213,5316.16,4.502,0.214956,-0.385,-0.5022205840046032,5475.736,0.25265843,4.4584775,-0.23033372,0.3179637843522794,0.3752151462994826
SPLUS-s02s09_000002554,5478.87,4.282,0.363252,-0.309,-0.3559407364787113,5462.565,0.32452998,4.431871,-0.4817091,0.3551648452146874,-0.003442340791738552
SPLUS-s02s13_000009466,6016.25,4.223,0.119043,-0.529,0.1271756329113929,5888.797,0.14134724,4.092624,-0.59460074,0.4780282591796608,-0.10499139414802094
SPLUS-n04s01_000000576,5800.34,4.421,0.152425,-0.198,-0.06693217779056315,5691.4834,0.28152654,4.2912025,-0.4087076,0.4286638620878871,0.2358003442340788
SPLUS-s03s03_000005191,5216.22,4.347,0.249417,-0.362,-0.5920688291139236,5367.1924,0.31038654,4.488183,-0.46589202,0.2951140884356853,0.1084337349397595
SPLUS-n06s41_000008706,5510.22,3.904,0.110014,0.168,-0.32775640103567305,5626.7856,0.079152055,4.1068535,0.19381407,0.36233252549270656,-0.6540447504302929
SPLUS-n02n22_000008135,5428.94,4.213,0.168557,0.205,-0.40082889815880307,5342.423,0.16738717,4.470224,-0.08485648,0.3437491426219763,-0.12220309810671282
SPLUS-n03s28_000005994,5853.68,4.334,0.088926,-0.229,-0.018978351553509576,5803.0093,0.24938051,4.1439376,-0.4105626,0.4408592070968037,0.08605851979345847
SPLUS-n01s18_000002388,5721.11,4.231,0.323491,-0.575,-0.1381616800920602,5793.7734,0.28162557,4.098023,-0.5616973,0.41054917920343853,-0.09122203098106763
SPLUS-n01s37_000000827,5739.18,4.174,0.177954,-0.161,-0.12191635500575337,5706.795,0.28381634,4.200909,-0.33214685,0.4146805981069094,-0.18932874354561058
SPLUS-n03s27_000007124,5649.29,3.988,-0.026386,0.091,-0.20272943037974667,5692.5415,0.04872057,4.0380154,0.08125038,0.39412867529379486,-0.5094664371772808
SPLUS-n02n28_000007880,5328.68,3.767,0.192255,-0.259,-0.4909648302646721,5537.6157,0.20200996,4.2135215,-0.12121961,0.3208262837806941,-0.8898450946643717
SPLUS-n05n54_000007825,5327.9,4.422,0.134319,-0.207,-0.49166606731875717,5511.451,0.17813633,4.3900037,-0.075601235,0.3206479491517673,0.23752151462994764
SPLUS-n01s20_000014618,5444.9,4.412,0.407147,-0.505,-0.38648050920598376,5747.37,0.19270374,4.2595754,-0.41011533,0.347398143490786,0.22030981067125577
SPLUS-n01s22_000003432,5750.65,4.045,0.211189,-0.663,-0.11160457422324566,5814.6914,0.25646737,4.081737,-0.58748657,0.4173030316886916,-0.41135972461273695
SPLUS-s02s05_000005889,5548.51,4.221,0.00453,0.358,-0.29333285385500574,5387.5576,0.1532413,4.358548,0.070034236,0.3710869266998948,-0.1084337349397595
SPLUS-n04n01_000017815,5754.75,4.17,0.207109,-0.673,-0.10791858457997705,5705.8433,0.08478758,4.259191,-0.566081,0.4182404316612556,-0.19621342512908857
SPLUS-s02s06_000003515,5234.87,4.455,0.172692,-0.137,-0.5753020713463748,5157.2563,0.17700502,4.0961156,-0.20549154,0.2993781151401528,0.2943201376936315
SPLUS-n03n01_000004979,5680.51,4.35,0.203538,-0.018,-0.1746619677790564,5682.3057,0.18081352,4.271485,-0.073186785,0.40126663313365946,0.11359724612736599
SPLUS-n04s42_000002220,5968.86,4.195,0.150647,-0.534,0.08457098676639774,6034.307,0.045704573,4.215465,-0.21781534,0.4671932873016597,-0.153184165232358
SPLUS-n06s41_000009366,5602.97,4.139,0.460725,-0.765,-0.24437212313003442,5767.683,0.2992146,4.146774,-0.67763895,0.38353834194521924,-0.24956970740103213
SPLUS-n05s01_000023773,6185.65,4.197,0.039548,-0.102,0.27946993670886044,6169.4004,0.020398205,4.1211576,-0.2798541,0.5167588824363253,-0.14974182444061945
SPLUS-n03s19_000005803,6067.41,4.266,-0.046159,0.194,0.17316959148446465,6005.6035,0.024133736,4.1308517,-0.0051819384,0.4897251817641409,-0.030981067125646078
SPLUS-n02s18_000005851,6048.21,4.375,-0.091477,-0.934,0.15590837169159943,6074.547,0.19376487,4.027584,-1.7844642,0.4853354062828661,0.15662650602409567
SPLUS-s02s10_000011870,5616.43,4.371,0.33453,-0.165,-0.23227128883774384,5531.139,0.18105501,4.0717316,-0.10365329,0.3866157574649048,0.14974182444062034
SPLUS-n02s25_000006698,4990.43,4.514,0.197476,0.075,-0.7950589758342916,5159.4985,0.10544093,3.978843,0.17409694,0.24349078604417226,0.3958691910499139
SPLUS-n03s24_000001751,5537.57,3.925,0.212208,-0.647,-0.30316815304948186,5632.9507,0.31636137,4.322491,-0.48741388,0.36858566921212677,-0.6179001721170403
SPLUS-n04s41_000003912,5977.51,4.214,0.07484,-0.292,0.09234752589182982,5935.9653,0.09356082,4.1658883,-0.3934734,0.46917097260963003,-0.1204819277108431
SPLUS-n04s44_000007910,5771.87,4.475,0.139505,-0.231,-0.09252733026467208,5660.601,0.32746363,4.0642104,-0.45087743,0.42215464813205905,0.3287435456110144
SPLUS-n01s23_000007943,5214.49,4.02,0.106768,-0.009,-0.5936241369390105,5188.136,0.19506578,4.4854116,-0.076932095,0.2947185513740911,-0.4543889845094675
SPLUS-n02s23_000012833,6011.72,4.369,0.057417,-0.11,0.12310306386651337,5964.8877,0.06671765,4.224875,-0.16245422,0.4769925465270474,0.1462994836488809
SPLUS-n01s27_000005344,5423.83,4.622,0.184267,-0.077,-0.4054228998849254,5394.777,0.21454251,4.469521,-0.18925795,0.3425808221683661,0.5817555938037859
SPLUS-s02s10_000013752,5732.12,4.205,0.397189,-0.374,-0.1282634493670889,5651.203,0.31025073,4.067664,-0.3959558,0.4130664410809821,-0.13597246127366613
SPLUS-s02s10_000004309,6544.72,4.236,0.140892,-0.242,0.6022817174913699,6415.385,0.020602182,4.1392827,-0.18247208,0.5988545429603549,-0.08261617900172169
SPLUS-s02s10_000003762,6050.47,3.944,0.104997,-0.363,0.15794016110471887,6007.217,0.08289921,4.109111,-0.28154072,0.4858521194384747,-0.5851979345955254
SPLUS-n07s43_000014813,5527.96,3.805,0.085639,-0.212,-0.31180775316455644,5789.6924,0.10180884,4.210609,-0.10888361,0.3663884951300929,-0.8244406196213419
SPLUS-n02n01_000001220,6157.21,4.243,-0.035111,-0.492,0.2539017548906788,6234.62,0.020992607,4.154097,-0.3848173,0.5102565275046869,-0.07056798623063631
SPLUS-n02n27_000009581,6369.35,4.035,0.599999,-2.047,0.44462025316455733,6328.3643,0.32185522,4.113555,-1.2548764,0.5587589738899813,-0.4285714285714288
SPLUS-s02s13_000007740,5449.23,4.398,0.481926,-0.463,-0.3825877445339474,5464.2305,0.31759548,4.290294,-0.25102475,0.34838812931546925,0.1962134251290868
SPLUS-n01s22_000005319,5574.64,3.914,-0.111002,0.064,-0.26984141254315297,5655.6504,0.0835281,4.0283065,0.09784501,0.3770611367689423,-0.6368330464716001
