Field,teff,logg,alpha_m,feh,TEFF,TEFF_PredictDecoded,alpha_predict,LOGG_Predict,FEH_Predict,colors,sizes
SPLUS-n04s02_000006666,5635.8,4.332,0.097976,0.225,-0.21485723532796275,5619.027,0.13768487,4.1773815,0.03489677,0.39104440074992003,0.0826161790017208
SPLUS-n02n20_000003115,5833.19,4.114,0.197764,-0.806,-0.037399309551208404,5920.5815,0.2103226,4.1539397,-0.62993854,0.4361744935753806,-0.2925989672977627
SPLUS-n02n01_000009707,5834.39,4.092,0.127461,-0.263,-0.03632048331415394,5807.7354,0.1228502,4.0396247,-0.2751443,0.4364488545429604,-0.3304647160068859
SPLUS-s02s21_000002217,5484.8,3.877,0.438085,-0.51,-0.35060953682393503,5739.369,0.14092007,4.213335,-0.38285828,0.3565206456628105,-0.7005163511187611
SPLUS-n02n18_000000666,5765.85,4.251,0.213899,-0.861,-0.09793944188722659,5836.865,0.22847074,4.186088,-0.7580313,0.4207782706113677,-0.056798623063682996
SPLUS-n04s42_000004977,6021.11,4.33,0.111723,-0.125,0.13154487917146174,5895.172,0.0788994,4.2053094,-0.15794797,0.47913942109835844,0.07917383820998225
SPLUS-n01s01_000009837,5486.26,4.323,0.359599,-0.424,-0.3492969649021864,5607.3257,0.32572514,4.3313556,-0.3591841,0.3568544515066989,0.06712564543889865
SPLUS-n02n26_000007145,6278.01,4.231,0.063789,-0.247,0.36250359608745697,6197.908,0.020221394,4.1522617,-0.28237996,0.5378755315743746,-0.09122203098106763
SPLUS-n03s22_000006024,5859.42,4.203,0.14404,-0.324,-0.013817966052934061,5896.2446,0.07658098,4.1186376,-0.2069087,0.4421715670583932,-0.1394148020654038
SPLUS-n07s38_000008472,5840.09,4.348,0.10223,-0.098,-0.031196058688147232,5804.7373,0.109943144,4.1060023,-0.1747694,0.4377520691389638,0.11015490533562744
SPLUS-n03s25_000010620,5821.78,4.314,0.123648,-0.27,-0.04765714902186424,5846.6094,0.10753669,4.1868973,-0.20764646,0.43356577804197716,0.05163511187607561
SPLUS-n05s02_000006883,5597.0,4.55,0.035483,0.099,-0.24973928365937859,5518.4214,0.15493387,4.2180767,0.012393527,0.38217339613151036,0.4578313253012043
SPLUS-s02s01_000005018,6067.0,4.262,-0.044184,0.084,0.17280099252013859,5965.821,0.03579282,4.1181436,-0.07542069,0.4896314417668847,-0.03786574870912318
SPLUS-n01s28_000002501,5586.05,4.597,0.195165,-0.558,-0.25958357307249713,5532.7803,0.33176062,4.36653,-0.5666928,0.37966985230234573,0.5387263339070572
SPLUS-n01s22_000000327,5064.0,4.632,0.109242,-0.254,-0.7289179372842352,5215.297,0.15972437,4.5139685,-0.063716225,0.26031139969820283,0.5989672977624778
SPLUS-n02n01_000007673,5379.74,4.398,0.186573,-0.518,-0.445060773878021,5513.2764,0.23122068,4.02131,-0.1727137,0.3325003429512094,0.1962134251290868
SPLUS-n02s24_000001156,5676.02,3.949,0.048469,-0.006,-0.17869857594936622,5699.4883,0.121533655,4.062392,-0.056904733,0.4002400658466324,-0.5765920826161794
SPLUS-n04s42_000000368,5359.26,4.483,0.224552,-0.199,-0.4634727416570765,5467.562,0.17373915,4.474751,-0.08944476,0.3278179157711831,0.3425129087779677
SPLUS-s02s10_000013751,6456.06,4.115,-0.050889,-0.26,0.5225744390103575,6388.101,0.023081582,4.1271396,-0.34725973,0.5785838401390097,-0.29087779690189297
SPLUS-n03n01_000005475,5432.67,4.523,0.191654,-0.245,-0.3974755466052935,5416.797,0.34158215,4.500742,-0.36085546,0.3446019479628698,0.41135972461273607
