ID,RA,DEC,Field,FWHM,ISOarea,KRON_RADIUS,MU_MAX,nDet_PStotal,PhotoFlagDet,CLASS_STAR,u_PStotal,J0378_PStotal,J0395_PStotal,J0410_PStotal,J0430_PStotal,g_PStotal,J0515_PStotal,r_PStotal,J0660_PStotal,i_PStotal,J0861_PStotal,z_PStotal,e_u_PStotal,e_J0378_PStotal,e_J0395_PStotal,e_J0410_PStotal,e_J0430_PStotal,e_g_PStotal,e_J0515_PStotal,e_r_PStotal,e_J0660_PStotal,e_i_PStotal,e_J0861_PStotal,e_z_PStotal,feh_predict
b'iDR3.SPLUS-s27s13.026446 ',19.480725401467925,-34.75945001631396,b'SPLUS-s27s13 ',5.639038,67,3.9574661,15.813568,12.0,0,0.8991281,21.90247,21.630806,21.09993,20.686703,20.647175,20.272673,19.926857,19.024166,18.070885,18.692978,18.093523,18.261879,0.32845154,0.4155583,0.41083917,0.27505174,0.24235396,0.060140762,0.102769956,0.024280347,0.014487986,0.025268085,0.040464688,0.032401882,0.5357202
b'iDR3.SPLUS-s27s09.010089 ',12.70455398453766,-35.32281150790576,b'SPLUS-s27s09 ',2.7461681,35,3.911177,15.341838,12.0,0,0.9595751,20.06652,19.63779,19.64871,19.234562,18.894642,19.150684,19.107506,18.95412,18.668922,18.892162,18.59578,18.667091,0.061138865,0.06742065,0.11368816,0.072596386,0.052073743,0.022441741,0.04654341,0.01933953,0.0188752,0.02437199,0.040035475,0.036938652,0.44278246
b'iDR3.SPLUS-s19s33.015523 ',331.2684098256359,-24.554909705235747,b'SPLUS-s19s33 ',3.181384,35,4.371794,15.806362,12.0,0,0.9789369,20.23972,19.88694,19.908653,19.534739,19.593391,19.308296,19.101286,18.968496,18.429531,18.8443,18.802788,18.722145,0.0709518,0.097408,0.16838697,0.111684054,0.11532424,0.03203052,0.05885339,0.023411907,0.017878575,0.027153958,0.049249165,0.042675685,0.44637364
b'iDR3.SPLUS-s23s41.047976 ',345.6476494287596,-28.941580257566937,b'SPLUS-s23s41 ',2.2198052,26,4.099175,15.384426,12.0,0,0.99900055,19.297203,18.876814,19.132395,19.19824,19.205791,19.222794,18.96652,18.972675,18.718369,19.148724,19.014126,18.497326,0.039213583,0.046347257,0.09078008,0.08678822,0.081336215,0.030145625,0.0520465,0.023469564,0.026565868,0.036207054,0.07234778,0.03891287,0.42120135
b'iDR3.SPLUS-s23s11.003816 ',15.901315572436047,-30.17773117966996,b'SPLUS-s23s11 ',2.7792256,47,4.646271,15.216048,12.0,0,0.9717211,22.54051,22.483185,20.968513,21.268734,20.82218,20.09034,20.236765,18.947624,18.293736,18.235035,17.989937,17.904354,0.56986845,0.9962575,0.49949375,0.5647572,0.36065063,0.06924783,0.1615149,0.02339143,0.016178962,0.01643055,0.027056415,0.020327004,0.56814206
b'iDR3.SPLUS-s24s04.024826 ',4.33362728383904,-30.79774330171561,b'SPLUS-s24s04 ',3.9396133,53,4.262641,16.122066,12.0,0,0.9694541,22.697376,20.561695,20.313787,20.02517,19.724157,19.122887,18.351713,18.915844,18.400108,18.847342,18.756554,18.82032,0.60389155,0.18733536,0.24464436,0.19192438,0.12191585,0.027493902,0.03408123,0.022231491,0.018135993,0.027098814,0.055599216,0.05135012,0.4892097
b'iDR3.SPLUS-s23s20.022602 ',30.059015260305173,-29.74622384388247,b'SPLUS-s23s20 ',2.8452103,37,3.8346627,15.685565,12.0,0,0.97766435,20.865593,20.828636,20.55606,20.305756,19.959827,19.580055,19.44936,19.087164,18.42729,18.877735,18.774715,18.822613,0.10839369,0.18407801,0.24291417,0.17245966,0.123713985,0.03204805,0.0665441,0.02127546,0.015814224,0.021536842,0.042566616,0.03339876,0.50770366
b'iDR3.SPLUS-s21s32.031150 ',333.08537864785336,-26.889989768269853,b'SPLUS-s21s32 ',3.030579,48,3.902297,15.751577,12.0,0,0.97131866,19.535517,19.230553,18.491146,19.078838,19.274117,19.03397,18.952541,18.934269,17.860033,18.850662,18.718979,18.73146,0.04641355,0.05788817,0.05239455,0.07267573,0.08391361,0.025723174,0.051976737,0.026495138,0.015825657,0.02506787,0.0441642,0.036852892,0.42867467
b'iDR3.SPLUS-s22s20.020470 ',29.14927102884013,-28.20801338455971,b'SPLUS-s22s20 ',2.4511461,41,4.5790763,14.904657,12.0,0,0.97815764,21.70311,22.854303,21.315807,21.886366,21.424437,20.30903,20.231447,18.910383,18.310894,18.064285,17.763283,17.637096,0.47023448,2.087975,0.8178138,1.3820711,0.9533205,0.12965955,0.24131551,0.028557684,0.020454489,0.016122175,0.023696505,0.016927889,0.5538303
b'iDR3.SPLUS-s26s20.014772 ',30.070720875882834,-33.80434721376681,b'SPLUS-s26s20 ',2.5442655,46,4.074715,15.251258,12.0,0,0.7561851,21.322468,21.390244,20.797411,20.659943,20.655968,20.145103,19.740131,18.969818,18.500587,18.52776,18.017614,18.124887,0.2758833,0.50336653,0.4846614,0.40470436,0.3774539,0.0863921,0.12949254,0.026686229,0.020403108,0.020345759,0.029576413,0.02379651,0.49957323
